"final_segment_id","segment_type_ids","segment_cluster_ids","segment_cluster_names"
2124,"[1, 6, 5, 7, 8]","[132, 139, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2125,"[1, 6, 5, 7, 8]","[132, 139, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2126,"[1, 6, 5, 7, 8]","[132, 139, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2127,"[1, 6, 5, 7, 8]","[132, 139, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment3"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2128,"[1, 6, 5, 7, 8]","[132, 140, 133, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2129,"[1, 6, 5, 7, 8]","[132, 140, 133, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2130,"[1, 6, 5, 7, 8]","[132, 140, 133, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2131,"[1, 6, 5, 7, 8]","[132, 140, 133, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster1"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2132,"[1, 6, 5, 7, 8]","[132, 140, 134, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2133,"[1, 6, 5, 7, 8]","[132, 140, 134, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2134,"[1, 6, 5, 7, 8]","[132, 140, 134, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2135,"[1, 6, 5, 7, 8]","[132, 140, 134, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster2"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2136,"[1, 6, 5, 7, 8]","[132, 140, 135, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2137,"[1, 6, 5, 7, 8]","[132, 140, 135, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2138,"[1, 6, 5, 7, 8]","[132, 140, 135, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2139,"[1, 6, 5, 7, 8]","[132, 140, 135, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster3"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
2140,"[1, 6, 5, 7, 8]","[132, 140, 136, 143, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster1""]"
2141,"[1, 6, 5, 7, 8]","[132, 140, 136, 143, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster1"", ""TotalPurchaseCluster2""]"
2142,"[1, 6, 5, 7, 8]","[132, 140, 136, 144, 141]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster1""]"
2143,"[1, 6, 5, 7, 8]","[132, 140, 136, 144, 142]","[""AgeCluster2"", ""CustomerSegment4"", ""IncomeCluster4"", ""ShoppingCountCluster2"", ""TotalPurchaseCluster2""]"
